author_id,name,orcid
2284823368,Shige Liu,
13150804,Zhifang Zeng,
47817869,Li Chen,
2341325896,Adil Ainihaer,
2341319603,Arun Ramasami,
2108194767,Songting Chen,
47103611,Yu Xu,
2285646862,Mingxi Wu,
2280382714,Jianguo Wang,
2261475668,Xiangyang Liu,
2315123131,Bo Lan,
2315141827,Zhiyuan Hu,
2315223469,Yang Liu,
2237946970,Zhicheng Zhang,
2316479178,Fei Wang,
2346110195,Michael Shieh,
2237956023,Wenmeng Zhou,
40918064,Makbule Gülçin Özsoy,
2335448038,Leila Messallem,
2335444768,Jon Besga,
2335443776,Gianandrea Minneci,
40389006,Miguel E. Coimbra,
2364683509,Lucie Svit'akov'a,
2232281128,Alexandre P. Francisco,
2285503172,Lu'is Veiga,
2047514100,Markus Hornsteiner,
2331973976,Michael Kreussel,
1690435,Christoph Steindl,
2331968811,Fabian Ebner,
1742222896,Philip Empl,
2265762859,Stefan Schönig,
2255363469,Sydney Anuyah,
2331178177,Victor Bolade,
2331178283,Oluwatosin Agbaakin,
40046694,Hongyu Ren,
2066369448,Mikhail Galkin,
1708906,Michael Cochez,
9031926,Zhaocheng Zhu,
1702139,J. Leskovec,
2216703472,Jéssica Monteiro,
2790411,Filipe Sá,
1716043,Jorge Bernardino,
48195883,D. Walke,
2082035401,Daniel Micheel,
32519729,K. Schallert,
2006748,T. Muth,
1817470,David Broneske,
2176430503,Gunter Saake,
144165788,R. Heyer,
2121691833,Ariel Debrouvier,
2121692012,Eliseo Parodi,
2121692039,Matías Perazzo,
2121701124,Valeria Soliani,
2070105034,A. Vaisman,
auth_4b015878,Claire Doyle,0000-0006-3541-6039
auth_9be23e48,Teresa Kelly,0000-0001-8580-0922
auth_95b5024d,Mrs. Katherine Goodman,0000-0007-6983-1684
auth_92020dc3,Dawn Miles,0000-0005-4575-4429
auth_9aa17ed7,Shawn Waters,0000-0000-3587-8203
auth_4cfb65a5,Dennis Cunningham,0000-0007-3294-4491
auth_b6ca4c16,Ashley Terrell,0000-0000-7615-2033
auth_1986f346,Bradley Oneill,0000-0004-1790-8267
auth_c9bf9e78,Brenda Johnson,0000-0000-8608-4693
auth_d9a2c28b,Amanda Robinson,0000-0007-7326-6301
auth_034aaf7b,Joseph Jones,0000-0009-5033-6024
auth_69c5db56,Mark Stewart,0000-0001-6769-2420
auth_d4e2f138,Mr. Joseph Gomez,0000-0000-7881-9317
auth_f6d9f2d3,Victor Howell,0000-0007-5215-1725
auth_361bf633,Jacob Whitehead,0000-0006-3359-4107
auth_4a532d7f,Deanna Johnson,0000-0001-4033-9987
auth_95f9ad39,Melinda Silva,0000-0002-3691-4984
auth_27607151,Robert Lucero,0000-0000-9740-3519
auth_30caddfe,Sharon Norton,0000-0002-0968-3294
auth_60b3dee0,Nicole Flynn,0000-0005-6178-1916
auth_2905dbf0,Lee Morales,0000-0005-1118-6458
auth_0b969a59,Daniel Watts,0000-0007-8031-6526
auth_cf06b46b,Robin White,0000-0009-6309-1985
auth_fd94bcce,Megan Mosley,0000-0007-1474-9620
auth_629616b5,Juan Sandoval,0000-0006-0731-8692
auth_59d7d0dc,Theresa Parker,0000-0008-2005-6763
auth_7c064e28,Lawrence Rosales,0000-0009-4590-9883
auth_2adae208,Dennis Daniel,0000-0008-6636-4082
auth_5b9cb518,Melinda Holmes,0000-0000-0406-8299
auth_da89f4f3,Alex Bond,0000-0008-2599-0642
auth_4839d9b7,Karen Hernandez,0000-0000-2889-7149
auth_9817d3be,Kim Lawrence,0000-0000-0311-0003
