city_id,name,country
unknown_city,Unknown City,Unknown Country
city_ceaccf56,Kristiside,Panama
city_9a761647,Lopezton,Liberia
city_b37eab0f,East Christopherbury,Palau
city_bb195526,West Amberfort,Svalbard & Jan Mayen Islands
city_ba33dee1,South Shannonton,Lithuania
city_c6fb4a2c,Port Hannah,Papua New Guinea
city_53f87adc,Jillmouth,Cocos (Keeling) Islands
city_1997798d,West Suzannemouth,Gambia
city_f8cc102c,Port David,Albania
city_7cd86ee0,Lake Jacob,Norfolk Island
city_0788b85f,South Ashley,Kyrgyz Republic
city_fc6eb3d9,Loganport,Jordan
city_cb3e8aaf,West Hannah,French Guiana
city_a2c4157d,Holtfurt,New Caledonia
city_6dc85196,Wilsonville,Norfolk Island
city_ebe4860d,New Jenniferhaven,Morocco
city_669f82ab,East Karen,Cayman Islands
city_82227bd9,Smithville,Kuwait
city_96a20af6,Lake Frankstad,Barbados
city_0b4fe789,Brownland,Nepal
city_6ecfa887,Sloanstad,Morocco
city_de62887d,Cynthiaside,Mauritania
city_8dd8121c,East Hollyfort,United States Minor Outlying Islands
city_2f2ab160,Spencerview,Central African Republic
city_38837479,Huberfurt,Saint Pierre and Miquelon
city_0188f5c2,Baileyhaven,Jersey
city_749b5c2f,Port David,Angola
city_c5b44451,Petersonview,Liechtenstein
city_e6909297,Jeromehaven,Belize
city_f313e48e,South Max,Liechtenstein
city_71e0db7a,Petersonland,Korea
city_1c237815,Brooksfurt,Bermuda
city_74212616,New Kathrynmouth,Syrian Arab Republic
city_a96bfc8d,North Mollyburgh,Tajikistan
city_b92b0b69,Lake Lawrenceland,Lebanon
city_3998cf61,Port Carlos,Estonia
city_6f47861d,Lake Donnaland,Greece
city_c6921107,Alexandraberg,Brazil
city_00d88204,Kristinafort,Macao
city_ab2221ef,Schroederbury,South Georgia and the South Sandwich Islands
city_65146dd4,South Christopher,China
city_6e227a20,Maryhaven,United Arab Emirates
city_dee7a22c,Cooleyfurt,Cameroon
city_fff2a20c,Calderonburgh,Gibraltar
city_c237e1d5,North Heather,Tajikistan
city_c86d40c5,South Ricardo,Saint Kitts and Nevis
city_74e8cc8a,Longside,Mozambique
city_d0cc393e,Robersonview,South Africa
city_2b84f575,East Melissaberg,Nigeria
city_a2bcaf37,Lake Randall,United States Virgin Islands
city_fc5b49bb,East Michaelfurt,Brunei Darussalam
city_89a60f54,North Kathleen,Myanmar
city_f137df92,North Carlshire,Canada
city_ed39b625,South Richard,Saint Lucia
city_6e29dfe8,Stephenchester,Egypt
city_c4683bfe,Lucaston,Germany
city_7baa5661,Port Patrickburgh,Afghanistan
city_ad112046,Kelliechester,Zimbabwe
city_b6b10a98,East Jacobstad,Martinique
city_4086c8cd,West Tanya,Korea
city_289225cf,Port Joanneshire,Christmas Island
city_f43fd688,North Jonathan,Haiti
city_fad23713,North Janicestad,Djibouti
city_46df1e63,Johnsonmouth,Colombia
city_531d7be7,Lake Jenniferstad,Israel
city_8afdbf49,Lake Kellichester,Pakistan
city_772da865,Julieburgh,Isle of Man
city_ac378ebe,Lisachester,El Salvador
city_ed86a02c,North Johnland,Korea
city_755d3e34,South Joshua,Antarctica (the territory South of 60 deg S)
city_f2d27425,Lake Whitney,Spain
city_4e903dd7,Johnchester,Georgia
city_09a32d03,Lindaborough,Morocco
city_7ae6b3d4,North Joseph,Palau
city_4be9a2a7,Peterland,Belarus
city_1192ad07,Hernandezchester,Kyrgyz Republic
city_850df011,Christophermouth,Marshall Islands
city_83ebfe93,North Joshuamouth,Monaco
city_84c2e7f4,New Jasonland,Suriname
city_b5aad0e1,Zhangfurt,Sao Tome and Principe
city_aa10db10,Rachelburgh,Rwanda
city_16c3357a,Williamsmouth,Saint Barthelemy
city_1bb0e61f,Lake Kathleen,Nauru
city_56dc5e6c,New Mary,United Kingdom
city_9e71dd3c,New Ethan,Nauru
city_7a007ff9,Lake Peter,Peru
city_96b1d769,Port Williamside,Vietnam
city_4ad6ecd7,West Mark,Tajikistan
city_111ef0de,East Angelaview,Nepal
city_5f6b3af6,Lake Colleen,Cote d'Ivoire
city_d3c5d604,Elizabethburgh,Panama
city_129ce795,West Robin,Burkina Faso
city_bb4ff9ce,West Rebecca,Armenia
city_5d2ee399,Leetown,Netherlands Antilles
city_8cea2234,Port Karen,Falkland Islands (Malvinas)
city_fd11d796,Robertview,Serbia
city_18009983,Lake Craigview,Haiti
city_12f6e693,West Jillview,Cuba
city_b7389973,Keithview,Vietnam
city_bd17d256,Josephland,Kenya
