conference_id,name,acronym,ranking
sigmod_conference_companion,SIGMOD Conference Companion,SIGMO,A
north_american_chapter_of_the_association_for_computational_linguistics,North American Chapter of the Association for Computational Linguistics,NORTH,A
arxiv_org,arXiv.org,ARXIV,A
applied_sciences,Applied Sciences,APPLI,A
conf_ac977f43,Int. Conf. on Same,NHVQ,A
conf_96a4210b,Int. Conf. on Him,FBPM,C
conf_7fb169e2,Int. Conf. on Manager,GICB,A*
conf_c5109580,Int. Conf. on Laugh,KYOH,C
conf_b45de510,Int. Conf. on Policy,RYLZ,A*
conf_c77dec77,Int. Conf. on Race,WAPP,A
conf_2c041298,Int. Conf. on Material,EOWI,A*
conf_d9fed6f7,Int. Conf. on Unit,PUPU,A
conf_e4fc90cd,Int. Conf. on Street,HFKP,A
conf_d7717b34,Int. Conf. on Sign,XCDT,A*
conf_603f5381,Int. Conf. on Herself,USFJ,A
conf_dd5fb483,Int. Conf. on Society,WJCQ,A*
conf_d5d03026,Int. Conf. on Season,RHMF,C
conf_0964a5d7,Int. Conf. on Audience,XBNF,A*
conf_0837943e,Int. Conf. on Administration,HHHH,A
conf_ab43a29f,Int. Conf. on Air,ZVAL,C
conf_5614c4c8,Int. Conf. on Seat,OVYW,A
conf_ceeeb55f,Int. Conf. on Black,ZRWE,A*
conf_237aa67e,Int. Conf. on Seven,PNZR,B
conf_f81aafbf,Int. Conf. on Wish,NEGD,A
conf_1627f401,Int. Conf. on Factor,QSDK,A
conf_a7d8e399,Int. Conf. on Others,DBZO,C
conf_19944268,Int. Conf. on Add,WQBJ,C
conf_ef4d0b44,Int. Conf. on Daughter,KRJD,C
conf_fa8ad3a1,Int. Conf. on Office,RMOQ,B
conf_e31df9cc,Int. Conf. on Seven,ZXIG,A*
conf_f99dc9f4,Int. Conf. on Arm,WQJU,A
conf_cbde122f,Int. Conf. on Sometimes,LXMB,C
conf_ade832ca,Int. Conf. on Move,CDEB,B
conf_7e6e897d,Int. Conf. on Itself,RAQO,A*
conf_05528305,Int. Conf. on Now,WNNG,A
conf_9bf22294,Int. Conf. on Offer,HULW,C
conf_f3a335e9,Int. Conf. on Fine,JTOG,B
conf_cdc213f0,Int. Conf. on Guess,IHLE,A*
conf_47f318ff,Int. Conf. on Senior,PJCI,A*
conf_e509e43f,Int. Conf. on Difficult,QFMJ,C
conf_26a86eb4,Int. Conf. on Good,LGMG,A
conf_029b5ac6,Int. Conf. on Cultural,BOBS,A*
conf_5451c38e,Int. Conf. on Any,TROT,B
conf_5c324ed8,Int. Conf. on Idea,UIVK,B
conf_249ed9a2,Int. Conf. on Can,KOTI,B
conf_7d50d3e5,Int. Conf. on Yeah,SKAP,C
conf_2d494086,Int. Conf. on East,TJTD,C
conf_057f48ce,Int. Conf. on Town,LPYS,A*
conf_f6357168,Int. Conf. on Career,RGKI,B
conf_d8e801fd,Int. Conf. on Also,VUZN,B
conf_2e37b4ec,Int. Conf. on Current,XNJP,A
conf_02362145,Int. Conf. on Material,ASDH,A
conf_08b5d079,Int. Conf. on Ago,VXLI,A*
conf_93e4ed19,Int. Conf. on Weight,JHCI,B
