edition_id,year_id
applied_sciences_2023,2023
arxiv_org_2023,2023
arxiv_org_2024,2024
arxiv_org_2025,2025
coling_workshops_2024,2024
ed_00641c34,year_2018
ed_00fdd523,year_2015
ed_0258785f,year_2021
ed_025c885d,year_2015
ed_03e126dd,year_2018
ed_045e402a,year_2010
ed_05bfb9f3,year_2024
ed_0642bc08,year_2019
ed_0739a75b,year_2013
ed_0916cf05,year_2019
ed_09c0cd11,year_2023
ed_09eaeb28,year_2012
ed_0aacf235,year_2017
ed_0b6eeb01,year_2019
ed_0b984cd3,year_2011
ed_0d0ee819,year_2014
ed_0dd114a8,year_2014
ed_0f2519d7,year_2020
ed_0fa7bc2d,year_2023
ed_15772061,year_2015
ed_15adc055,year_2023
ed_1626ded3,year_2019
ed_177516fc,year_2022
ed_17eb27b4,year_2014
ed_18986b1f,year_2010
ed_18aab14f,year_2024
ed_18c1c847,year_2018
ed_19b44200,year_2014
ed_19e78f47,year_2019
ed_1e483b30,year_2013
ed_1e725f7c,year_2010
ed_21b673b0,year_2017
ed_2258b5d7,year_2011
ed_2274f4d6,year_2019
ed_22a3e97e,year_2023
ed_23994b00,year_2015
ed_23dfdc47,year_2020
ed_23fb8cac,year_2018
ed_2542bc71,year_2015
ed_254379b6,year_2011
ed_25db858e,year_2010
ed_2901b9ae,year_2019
ed_2a2e063f,year_2018
ed_2b7a9912,year_2016
ed_2ba4cad2,year_2022
ed_2bb5f40c,year_2019
ed_2c36e56c,year_2013
ed_2c9b4e0b,year_2018
ed_2e566e80,year_2019
ed_2e6d0c66,year_2012
ed_2fd29845,year_2018
ed_3039054e,year_2013
ed_310e116f,year_2010
ed_3387c232,year_2020
ed_33a9a433,year_2022
ed_34d4635a,year_2020
ed_3531763f,year_2014
ed_35a6ddd9,year_2022
ed_35be28be,year_2017
ed_3648451a,year_2023
ed_36659910,year_2017
ed_37ae099f,year_2021
ed_37c7facf,year_2010
ed_384d1b77,year_2016
ed_3a4d4141,year_2022
ed_3a51733e,year_2011
ed_3ae56086,year_2018
ed_3c6e6968,year_2012
ed_3d668bba,year_2016
ed_3d68602f,year_2018
ed_3d8a89e1,year_2019
ed_3e079498,year_2011
ed_3e43ae80,year_2023
ed_3eb92c15,year_2019
ed_4005c9e2,year_2011
ed_41152e7c,year_2011
