edition_id,proceedings_id
applied_sciences_2023,proc_applied_sciences_2023
arxiv_org_2023,proc_arxiv_org_2023
arxiv_org_2024,proc_arxiv_org_2024
coling_workshops_2024,proc_coling_workshops_2024
grades_nda_sigmod_2022,proc_grades_nda_sigmod_2022
international_conference_on_advances_in_social_networks_analysis_and_mining_2021,proc_international_conference_on_advances_in_social_networks_analysis_and_mining_2021
international_conference_on_database_theory_2022,proc_international_conference_on_database_theory_2022
north_american_chapter_of_the_association_for_computational_linguistics_2024,proc_north_american_chapter_of_the_association_for_computational_linguistics_2024
sigmod_conference_2021,proc_sigmod_conference_2021
sigmod_conference_companion_2025,proc_sigmod_conference_companion_2025
undergraduate_topics_in_computer_science_2019,proc_undergraduate_topics_in_computer_science_2019
unknown_venue_2023,proc_unknown_venue_2023
