edition_id,parent_label,parent_id
applied_sciences_2023,Conference,applied_sciences
arxiv_org_2023,Conference,arxiv_org
arxiv_org_2024,Conference,arxiv_org
coling_workshops_2024,Workshop,coling_workshops
grades_nda_sigmod_2022,Conference,grades_nda_sigmod
international_conference_on_advances_in_social_networks_analysis_and_mining_2021,Conference,international_conference_on_advances_in_social_networks_analysis_and_mining
international_conference_on_database_theory_2022,Conference,international_conference_on_database_theory
north_american_chapter_of_the_association_for_computational_linguistics_2024,Conference,north_american_chapter_of_the_association_for_computational_linguistics
sigmod_conference_2021,Conference,sigmod_conference
sigmod_conference_companion_2025,Conference,sigmod_conference_companion
undergraduate_topics_in_computer_science_2019,Conference,undergraduate_topics_in_computer_science
unknown_venue_2023,Conference,unknown_venue
