edition_id,number,start_date,end_date
sigmod_conference_companion_2025,2025,2025-01-01,2025-01-03
north_american_chapter_of_the_association_for_computational_linguistics_2024,2024,2024-01-01,2024-01-03
coling_workshops_2024,2024,2024-01-01,2024-01-03
arxiv_org_2025,2025,2025-01-01,2025-01-03
arxiv_org_2024,2024,2024-01-01,2024-01-03
arxiv_org_2023,2023,2023-01-01,2023-01-03
applied_sciences_2023,2023,2023-01-01,2023-01-03
ed_3e43ae80,1,2021-08-22,2021-08-22
ed_e22ae730,2,2020-05-27,2020-05-27
ed_8902a610,1,2016-12-25,2016-12-25
ed_35a6ddd9,2,2023-01-10,2023-01-10
ed_bad8e5c8,3,2022-10-18,2022-10-18
ed_2c9b4e0b,1,2019-09-22,2019-09-22
ed_995b3e58,2,2019-07-27,2019-07-27
ed_845e5f2e,3,2018-11-29,2018-11-29
ed_51593997,4,2016-05-23,2016-05-23
ed_daa90233,1,2019-12-15,2019-12-15
ed_56113281,2,2023-08-20,2023-08-20
ed_4d098b17,3,2020-02-23,2020-02-23
ed_19e78f47,4,2025-06-02,2025-06-02
ed_80b3e512,1,2023-08-25,2023-08-25
ed_33a9a433,2,2018-06-16,2018-06-16
ed_18aab14f,1,2022-01-27,2022-01-27
ed_559e7a70,2,2020-07-11,2020-07-11
ed_a8117c53,3,2023-01-07,2023-01-07
ed_4005c9e2,4,2022-05-20,2022-05-20
ed_eb901c14,1,2024-08-27,2024-08-27
ed_c51361a5,2,2020-06-24,2020-06-24
ed_70b36e48,1,2020-04-16,2020-04-16
ed_0916cf05,2,2025-12-04,2025-12-04
ed_c49d6883,3,2019-04-18,2019-04-18
ed_94982c9e,1,2025-09-10,2025-09-10
ed_2901b9ae,2,2021-04-15,2021-04-15
ed_7e3c2e37,3,2024-11-02,2024-11-02
ed_8e660c47,1,2023-06-11,2023-06-11
ed_0b6eeb01,2,2017-05-01,2017-05-01
ed_3c6e6968,1,2020-04-27,2020-04-27
ed_2b7a9912,2,2025-05-26,2025-05-26
ed_2542bc71,3,2021-05-23,2021-05-23
ed_c4022094,1,2019-06-18,2019-06-18
ed_3039054e,2,2025-10-23,2025-10-23
ed_2a2e063f,3,2018-09-13,2018-09-13
ed_09eaeb28,4,2024-01-26,2024-01-26
ed_ca1d0789,1,2022-07-10,2022-07-10
ed_3648451a,1,2018-12-17,2018-12-17
ed_a7011649,2,2018-07-14,2018-07-14
ed_34d4635a,3,2022-05-27,2022-05-27
ed_7d975ce0,4,2023-11-18,2023-11-18
ed_9508f4fa,1,2022-06-13,2022-06-13
ed_f8e0a053,2,2021-02-23,2021-02-23
ed_e904b45f,3,2021-11-03,2021-11-03
ed_3ae56086,4,2024-10-17,2024-10-17
ed_45130ce2,1,2019-01-06,2019-01-06
ed_75dd4076,1,2019-01-02,2019-01-02
ed_90da5702,2,2020-11-22,2020-11-22
ed_bc20ac37,3,2017-11-04,2017-11-04
ed_7efe50d3,1,2018-06-25,2018-06-25
ed_a43a9fd0,2,2022-03-30,2022-03-30
ed_b72aaa44,3,2019-09-01,2019-09-01
ed_2e6d0c66,4,2022-05-06,2022-05-06
ed_b2323988,1,2017-05-14,2017-05-14
ed_e0617b09,2,2017-07-01,2017-07-01
ed_a3277b34,3,2021-11-10,2021-11-10
ed_78a3ccd7,1,2021-07-12,2021-07-12
ed_2274f4d6,2,2026-01-06,2026-01-06
ed_f24d38ce,1,2025-11-06,2025-11-06
ed_2ba4cad2,1,2018-12-16,2018-12-16
ed_f9272068,2,2021-12-10,2021-12-10
ed_37c7facf,1,2023-01-04,2023-01-04
ed_46c48acb,2,2020-10-26,2020-10-26
ed_18986b1f,3,2021-02-21,2021-02-21
ed_35be28be,1,2017-08-18,2017-08-18
ed_09c0cd11,1,2025-06-08,2025-06-08
ed_c5e96198,2,2023-10-13,2023-10-13
ed_cfe9a3b2,3,2017-12-20,2017-12-20
ed_e5970323,1,2019-05-08,2019-05-08
ed_cad6e5ac,1,2017-12-23,2017-12-23
ed_94a496db,2,2020-11-14,2020-11-14
ed_3a51733e,3,2019-07-02,2019-07-02
