journal_id,name,issn,impact_factor
future_internet,Future Internet,,0.0
database_j_biol_databases_curation,Database J. Biol. Databases Curation,,0.0
the_vldb_journal,The VLDB journal,,0.0
journal_199f8972,Journal of Central,1953-8879,5.78
journal_437fc849,Journal of Situation,5579-4125,1.96
journal_4b5b5eb4,Journal of My,4301-5017,11.74
journal_695894af,Journal of Bank,4026-2634,14.53
journal_c8b0f598,Journal of Play,2935-9594,5.64
journal_b4b48278,Journal of Keep,3497-7810,4.23
journal_e7302d5e,Journal of Staff,9308-2761,2.27
journal_e65bf29a,Journal of Community,5089-1869,11.02
journal_46d5918a,Journal of Brother,6029-4829,6.02
journal_8c0f0607,Journal of Black,3683-2938,1.04
journal_7079c051,Journal of Degree,5511-4267,6.57
journal_b9079632,Journal of While,4908-8354,14.08
journal_3438d994,Journal of Current,8486-6464,2.81
journal_893d6cb4,Journal of Protect,6442-7516,13.25
journal_c3ab3600,Journal of According,6799-9022,12.87
journal_cb6da4ac,Journal of Hit,4744-4004,5.99
journal_40b3176c,Journal of Vote,6502-5249,11.49
journal_10b7b5a2,Journal of Free,1119-8270,5.46
journal_60ed9bfc,Journal of Throw,0363-6334,2.75
journal_7784a7d2,Journal of Particularly,4684-9107,3.6
journal_9d04c041,Journal of Direction,8119-9930,14.99
journal_2be20c5d,Journal of Central,8733-6804,10.12
journal_26b60e5e,Journal of There,9240-7498,1.67
journal_c4d25f88,Journal of Sit,2132-9828,12.9
journal_ebadc547,Journal of Green,0042-3871,2.24
journal_8024b680,Journal of Military,5985-6916,11.19
journal_720b4945,Journal of Real,8434-4408,7.81
journal_996bc215,Journal of Laugh,7054-7094,4.19
journal_bfea4bc2,Journal of Law,7173-5973,7.12
journal_1dcf5617,Journal of Sell,1765-3921,10.88
journal_8f118813,Journal of Culture,2725-2031,10.95
journal_f43e91e9,Journal of Statement,9211-5033,3.89
journal_6a8d2cc8,Journal of I,7036-4728,4.74
journal_f301dc37,Journal of Task,2015-1962,0.55
journal_7281f478,Journal of Page,0187-9037,14.42
journal_b8864e85,Journal of Four,0190-2482,0.66
journal_aa01ae1e,Journal of Wait,8067-8205,5.68
journal_b142476d,Journal of Part,3150-5866,2.69
journal_f3455e68,Journal of Body,5097-1112,4.08
journal_5df47a56,Journal of Forget,3736-1106,9.44
journal_a1ce361f,Journal of Score,2104-5346,8.28
journal_f90dd423,Journal of Police,8643-8221,10.5
journal_8208f732,Journal of Congress,4089-2012,4.31
journal_4a7e6fd4,Journal of Peace,5497-5874,10.63
journal_b1130335,Journal of Home,4651-1033,13.96
journal_c86a931c,Journal of Ahead,4872-3784,10.63
journal_1ec81315,Journal of Environmental,7717-5641,14.37
journal_649a9e1e,Journal of Leader,9749-3685,4.03
journal_51338d20,Journal of Technology,7896-1859,10.63
journal_1e25097e,Journal of Ahead,7640-3294,5.22
