org_id,name,type
org_51f358e3,Wilson-Brown,University
org_8ab980ce,Logan Group,University
org_6c1ba318,"Maynard, Smith and Kennedy",University
org_2699442b,Long-Williamson,University
org_fe51ad90,Green PLC,University
org_84b86131,Brewer Ltd,Research Lab
org_6121f8ad,Jones LLC,Company
org_14dbf0b3,"Torres, Hicks and Brown",University
org_b1f7ca40,"Rogers, Hansen and Smith",Company
org_0a50b915,Campbell-Pope,Research Lab
org_20c861e3,Franklin-Wilson,Research Lab
org_f7c1d3b2,Ponce-Buchanan,Company
org_4d453cf7,Clayton-Peterson,Research Lab
org_d06af947,Case Group,Company
org_627fd8b1,Cox-Burton,Company
org_90797290,Castillo PLC,Company
org_ee1f6493,Fields-West,Research Lab
org_97b9ea44,White LLC,University
org_4631ffa3,Howard-Stevens,University
org_e5752a02,Ramirez Inc,Research Lab
org_66176414,Campos-Hunter,Research Lab
org_c55c5e86,Fowler-Phillips,Company
org_5dd8b4d5,"Mathis, Malone and Hill",Research Lab
org_72710f38,Gill-Le,Company
org_e7964724,"Mitchell, Hester and Holt",Research Lab
org_3f359b43,"Foster, Schneider and Salazar",Research Lab
org_f8b8197b,Parker-Zamora,Company
org_839ea52b,"Cole, King and Rodriguez",Research Lab
org_6308194d,Ortiz-Bauer,Company
org_29b73933,"Lee, Jones and Rodriguez",University
org_df47335b,Ryan PLC,Company
org_a37d47b2,Cruz Ltd,University
org_1254c4c5,Lowery and Sons,University
org_ac74848e,Clark-Palmer,Company
org_bcfa8a2b,Moyer LLC,Company
org_d3c987eb,"Wilson, Bryan and Zimmerman",University
org_8dd257db,White PLC,University
org_fedef7cd,"Woods, Harrington and Werner",University
org_bb06e48e,Austin-Gibbs,Company
org_5b250d35,Pearson PLC,Company
org_04922b6d,Brown-Simmons,Research Lab
org_5b0d2a72,"Castillo, Anderson and Sampson",University
org_5573686a,Pruitt Group,Research Lab
org_c0be3363,Bennett-Francis,University
org_fcfdb3c6,Richards-Garcia,University
org_c1603036,Figueroa LLC,University
org_74c82ba0,"Walker, Joyce and Clark",Company
org_5c504300,Solomon PLC,Company
org_bda39c61,Kennedy PLC,Company
org_9044af75,"Dennis, Petty and Moss",Company
