paper_id,topic_id,relevance_score
033275ccc2c7c5c38592ae893da0b5923cf90717,computer_science,1.0
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,computer_science,1.0
27d0ae215acfaa5914fc13cea20626c9470848c2,computer_science,1.0
3c78b9d672e5bb2e065bcac54b52aa08b94b7321,computer_science,1.0
3c78b9d672e5bb2e065bcac54b52aa08b94b7321,medicine,1.0
3ca49899da83e160280c709288973e9caed30fa2,computer_science,1.0
514e4e91e0fbddaa85857760d4f206a18228d614,computer_science,1.0
6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,computer_science,1.0
730d8b1e289067af593cfbc36c52ec0275507514,computer_science,1.0
86e9b0585c8b866665de18b2744d69aefff3e16d,computer_science,1.0
paper_0071ac36c05b,topic_b98e8ef0,0.52
paper_0084400f9877,topic_550c3314,0.91
paper_0084400f9877,topic_74f4f8c4,0.56
paper_0084400f9877,topic_b4c90339,0.84
paper_00b8d8cbe76b,topic_4596432c,0.5
paper_012d970ef9c8,topic_1a9d3e45,0.92
paper_01578539cdac,topic_33ef3971,0.61
paper_01578539cdac,topic_3d58f873,0.56
paper_01578539cdac,topic_6c80807c,0.9
paper_01578539cdac,topic_9d105a3f,0.9
paper_015d4b88de30,topic_0778bd90,0.65
paper_015d4b88de30,topic_783a3499,0.99
paper_015d4b88de30,topic_dff69202,0.71
paper_015d4b88de30,topic_f0d5c4ce,0.99
paper_01ae3975ac19,topic_31573f57,0.52
paper_01ae3975ac19,topic_7b4fc790,0.79
paper_01ae3975ac19,topic_9865d514,0.74
paper_02aef7f4ccb1,topic_5017e72e,0.82
paper_02aef7f4ccb1,topic_783a3499,0.76
paper_02ccc5e73791,topic_c85e7318,0.91
paper_02e11839c4f3,topic_11e980b2,0.54
paper_0315438cd092,topic_8e2c7bf4,0.95
paper_0388a924e4e5,topic_4bc3b9f4,0.69
paper_0388a924e4e5,topic_550c3314,0.67
paper_0388a924e4e5,topic_abd890e3,0.92
paper_0388a924e4e5,topic_ced4b441,0.77
paper_04054d0d7a96,topic_020ba773,0.76
paper_04054d0d7a96,topic_9d105a3f,0.96
paper_045b20b7a2a8,topic_22a85afd,0.77
paper_045b20b7a2a8,topic_455fead9,0.65
paper_045b20b7a2a8,topic_93954ef3,0.99
paper_047482ae7c53,topic_d224d601,0.74
paper_048ec457c420,topic_20a19c4e,0.96
paper_048ec457c420,topic_21482971,0.77
paper_048ec457c420,topic_54f10851,0.78
paper_04d56d1f2a09,topic_455fead9,0.98
paper_04d56d1f2a09,topic_943aada5,0.8
paper_04d56d1f2a09,topic_e32b7a04,0.81
paper_04d56d1f2a09,topic_f0d5c4ce,0.81
paper_04e41542ccdd,topic_502d622d,0.81
paper_04e41542ccdd,topic_5f824f0b,0.59
paper_04e41542ccdd,topic_6103c4e7,0.52
paper_04e41542ccdd,topic_daf3012e,0.78
paper_05066e8f69b7,topic_0200fd0d,0.6
paper_05066e8f69b7,topic_cb9b7b56,0.96
paper_05066e8f69b7,topic_d0460b01,0.57
