paper_id,proceedings_id,pages
033275ccc2c7c5c38592ae893da0b5923cf90717,proc_arxiv_org_2023,
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,proc_sigmod_conference_companion_2025,
3ca49899da83e160280c709288973e9caed30fa2,proc_coling_workshops_2024,
459cf4e6476d5e19f1bc422c162bcded54ca7f95,proc_applied_sciences_2023,
514e4e91e0fbddaa85857760d4f206a18228d614,proc_north_american_chapter_of_the_association_for_computational_linguistics_2024,
6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,proc_arxiv_org_2024,
730d8b1e289067af593cfbc36c52ec0275507514,proc_arxiv_org_2025,
paper_00b8d8cbe76b,proc_0bc037a5,10-60
paper_012d970ef9c8,proc_f53363a4,47-94
paper_015d4b88de30,proc_cf8c0517,43-64
paper_02aef7f4ccb1,proc_ef0972cb,3-68
paper_02ccc5e73791,proc_7a835e14,12-97
paper_0315438cd092,proc_ec42f9f0,17-58
paper_0388a924e4e5,proc_9e7e8f22,20-67
paper_048ec457c420,proc_9463f313,34-51
paper_04d56d1f2a09,proc_20dec7a9,18-86
paper_04e41542ccdd,proc_9ec9a954,41-70
paper_05066e8f69b7,proc_061068b4,49-97
paper_0566b42a5188,proc_33f4ce41,40-67
paper_05c230eaaa5d,proc_923caeeb,13-60
paper_06107d4c5bde,proc_94f1ebcd,12-79
paper_0654d98a5150,proc_68d01406,35-59
paper_06d3539a9066,proc_97a950de,38-52
paper_078fe939a99f,proc_3f52ced7,44-75
paper_08477d7edb0e,proc_47d71f42,34-91
paper_0872b5abacce,proc_e55f39cb,21-74
paper_087dbe8b6819,proc_2aa74456,2-96
paper_08f43cc67757,proc_2706d956,4-65
paper_08f64863d350,proc_ef0972cb,35-63
paper_09a1733f7089,proc_a45ece10,17-51
paper_09a448eb6a71,proc_5a0f2d9a,40-57
paper_09bab4efe29a,proc_41a89fcd,37-69
paper_0a400618c083,proc_f5443c86,43-80
paper_0a715a098dc4,proc_ccd91293,21-94
paper_0aac71eb6c92,proc_e46a27c0,5-54
paper_0ad220ef1423,proc_bb1072a3,16-55
paper_0b245483a230,proc_c879d571,29-87
paper_0b50a427704f,proc_3f52ced7,41-87
paper_0b5ca3170efb,proc_86785422,32-69
paper_0c48b87dbd12,proc_9463f313,31-80
paper_0c6014fe12ba,proc_c693478e,33-53
paper_0caeb6c0ff29,proc_6f3d0189,28-60
paper_0db73407119f,proc_5336c882,50-78
paper_0e66b05c7132,proc_1fe4ba78,50-64
paper_0e7eae7d4566,proc_b9302b3f,12-67
paper_0ecb2109b7a9,proc_3c74b807,35-55
paper_0ed2c38443c6,proc_6957b859,46-70
paper_0eedf3ead6e8,proc_3b47684b,45-97
paper_0eeef7f83d64,proc_92f1e3da,30-96
paper_11719764b130,proc_96e90cba,48-82
paper_1174aec0a621,proc_b0283488,33-88
paper_117df1133da4,proc_da39b8fc,9-91
paper_118edf2678d3,proc_57fe99bd,25-81
paper_124213143aa4,proc_fdf9a41e,21-99
paper_12baf8feb925,proc_ec42f9f0,10-53
paper_12bf40d13df9,proc_b5a391aa,21-94
paper_12d4f094e199,proc_1e5b5708,38-76
paper_142c339c3dbd,proc_8a2c2e55,16-96
paper_14597b8acfd4,proc_8a1a7968,29-69
paper_14ef645a41cb,proc_1e25f017,10-70
paper_16cbd1faea0b,proc_033e3477,25-67
paper_16e4f8a988a6,proc_923caeeb,33-60
paper_17e5f714f75d,proc_b5e5f3b7,47-51
paper_19228fb6a20f,proc_4399c2e9,39-76
paper_198b45a68b53,proc_50b50433,31-66
paper_19911de90aa4,proc_83a35e9a,36-65
paper_199cf900bed7,proc_6957b859,37-65
paper_1a397fa1c71b,proc_9e7e8f22,42-71
paper_1a6d26487f8b,proc_7a61f08c,28-55
paper_1a7d9f8c9aa9,proc_d5f3fc55,40-84
paper_1b1a5c7d1943,proc_b9302b3f,44-52
paper_1b5c1f4fc8d4,proc_7680fa8c,14-92
paper_1c1978e4decc,proc_97185665,37-51
paper_1ce0358b345f,proc_2706d956,30-88
paper_1cf5839fc903,proc_27485f20,42-70
paper_1d55de42e64e,proc_41a89fcd,4-53
paper_1d944eadbd01,proc_c32ac24a,16-70
paper_1d98106cbd7a,proc_262c63e7,27-74
paper_1e587ae00d66,proc_c32ac24a,34-53
paper_1e73702bea90,proc_04bc17f8,31-75
paper_1e8e500d7037,proc_3708d446,21-64
paper_1ee939777ff2,proc_ce7350e9,35-55
paper_206d1d67fef4,proc_11e46a18,47-81
paper_209428c1f880,proc_3cd68514,31-60
paper_214bab7b7fa9,proc_d72c1627,31-67
paper_2175c7312595,proc_3fdd3e41,27-85
paper_23374186a701,proc_b893f689,26-79
paper_2365e24994d4,proc_86785422,47-72
paper_23bd9a664c79,proc_3b021523,4-74
paper_2400193928e4,proc_f71cfa9e,25-83
paper_242f358904d1,proc_678e0204,50-90
paper_2440580a40e4,proc_5ab24ea3,50-72
paper_24893bae73b2,proc_7a61f08c,39-79
paper_270cbffab335,proc_50aee913,44-80
paper_27a64b16dd6e,proc_12ea6360,14-66
paper_288bf1cc08b2,proc_d6c8ad38,12-78
paper_289034afd4ef,proc_a1b80f41,33-56
paper_293e5fb02768,proc_95b9a174,36-74
paper_298b6c1c38b0,proc_8f01d99e,13-88
paper_29e8bdd8cbfa,proc_be157449,7-51
paper_2a7d3470bbc4,proc_336bdb0e,13-94
paper_2a80a477951e,proc_f6525e9e,10-90
paper_2c04aed4cc44,proc_061068b4,9-97
paper_2ce954aa508c,proc_5336c882,34-61
paper_2cf711e93d49,proc_00e29167,18-92
paper_2d970badc802,proc_433b5380,33-75
paper_2dcefda14fff,proc_bc009aab,24-74
paper_2e6758839a48,proc_cf262b64,10-91
paper_3014646e625b,proc_4913763f,40-81
paper_30355bbcd802,proc_f3fadecb,37-81
paper_3137b0f44153,proc_288f1f95,11-68
paper_3180557fba6f,proc_86785422,35-74
paper_31c38dda7759,proc_afb2897a,27-52
paper_32bc308a63c5,proc_2863c6c2,26-92
paper_331894b37734,proc_677ee4ff,19-79
paper_3334b14c471d,proc_ef4fb09e,27-64
paper_334220e3ba26,proc_ef4fb09e,11-51
paper_336ab267c049,proc_a56c47ea,3-82
paper_34103d900746,proc_e39f2563,17-99
paper_341f8de63311,proc_3fdd3e41,35-52
paper_346baea7fdda,proc_2706d956,39-59
paper_3564b7acedad,proc_7d4c08c5,18-51
paper_3719cc3a81c5,proc_ddc6c305,29-83
paper_3821386ff56c,proc_db8d3241,41-87
paper_383252cc6b8c,proc_b9302b3f,14-52
paper_383f55cf66d3,proc_bb1072a3,12-79
paper_388669b3edad,proc_75485465,10-79
paper_38c6546fc57e,proc_fdf9a41e,24-80
paper_38e180064a1d,proc_145de014,31-95
paper_3947ff121389,proc_433b5380,3-94
paper_39ddc08ecc59,proc_83258dd6,25-58
paper_3aa2f6aed370,proc_a1908d6c,15-62
paper_3b85b8de4b90,proc_be6d29ac,45-86
paper_3d597e9df338,proc_288f1f95,12-75
paper_3d71417bcac4,proc_53472659,12-72
paper_3d817d6e82a0,proc_4b6734b9,6-77
paper_3dace84b4aa3,proc_f9b83569,11-55
paper_3db627d65312,proc_a56c47ea,18-65
paper_3e178528f4db,proc_72b99715,48-58
paper_3f034505c2a0,proc_a0497103,20-98
paper_3fa8ee9a93f2,proc_525e94a0,37-66
paper_401adbcd2e55,proc_f53f27fb,16-61
paper_4024a4a039ca,proc_525e94a0,9-53
paper_40fed308a45f,proc_cc1ba3c8,45-98
paper_41000e5a1f26,proc_3b021523,5-58
paper_4129e0aa65c2,proc_1e25f017,25-79
paper_421767b9f339,proc_bf72ba54,36-70
paper_421b460f267f,proc_ec42f9f0,8-89
paper_42dbd7e133da,proc_3cbed801,34-52
paper_43254d77185f,proc_1f3adbc1,9-79
paper_4361b8efdaab,proc_525e94a0,6-78
paper_44b75c7eed59,proc_8b069513,1-82
paper_4625bbbcd5e8,proc_d5f3fc55,17-65
paper_48786788a0ac,proc_e37cb4b9,33-69
paper_497f39823f37,proc_145de014,37-64
paper_49c8daeb25c6,proc_333ab55b,50-82
paper_49f4abe7b7b6,proc_a5ec3775,43-83
paper_4a12daac1e98,proc_8a2c2e55,20-52
paper_4a211d940bf0,proc_5336c882,44-75
paper_4a2a8e4bff54,proc_a0497103,1-71
paper_4a3a5389410e,proc_9b25ade2,38-53
paper_4a5039f1d2b7,proc_b9302b3f,41-83
paper_4a8b0d293012,proc_588ba179,9-88
paper_4c3207933faf,proc_de6d4ed6,1-72
paper_4c4cad8785d8,proc_7680fa8c,23-71
paper_4c9f687043c6,proc_f8af01b8,11-100
paper_4d060cfa77c3,proc_fdf9a41e,17-92
paper_4d0fe8340663,proc_e387e4b1,23-79
paper_4d3653dbf5d2,proc_ff3b1130,23-69
paper_4d4b6712c7c4,proc_8c611410,26-75
paper_4da51849b847,proc_5dd47fae,21-91
paper_4e1a55e66acf,proc_f53363a4,4-71
paper_4e258d765324,proc_a45ece10,36-84
paper_4e306625d32a,proc_588ba179,23-78
paper_4ed6d06a3b6d,proc_ec42f9f0,29-93
paper_4ee1919ace68,proc_d0c29a5a,11-86
paper_505c4a938872,proc_5336c882,9-98
paper_5062a3383ed1,proc_95b9a174,14-75
paper_509c6b442122,proc_73b18e28,11-80
paper_50dadcaeaa29,proc_d902ad68,16-94
paper_5100398a2b0b,proc_f9b83569,6-85
paper_511316627c55,proc_1fe4ba78,14-62
paper_522e985c8fa9,proc_2863c6c2,43-100
paper_53be9e22444b,proc_50aee913,26-78
paper_53f0d01167a8,proc_1c77c51b,37-69
paper_553b5dffa1ad,proc_a7a1ac5e,13-66
paper_554f00b3cda9,proc_5ab24ea3,9-95
paper_557831357050,proc_05af7ea3,8-96
paper_55b1b20d49db,proc_4bc10552,21-89
paper_5660485e2fba,proc_1486dfb3,50-82
paper_56d41031ece0,proc_47d71f42,2-72
paper_579ae3e664a3,proc_26b792fb,5-83
paper_57d72eef4667,proc_0fe91d56,8-82
paper_58512a79801c,proc_c879d571,8-96
paper_585649845b53,proc_989f02f1,40-60
paper_5889492c04aa,proc_4399c2e9,41-60
paper_58c1e7784f84,proc_a7a1ac5e,4-97
paper_5a5721a5a87d,proc_a1908d6c,37-67
paper_5a7744566c71,proc_336bdb0e,28-80
paper_5adff1abf7f1,proc_bf1d68cc,16-55
paper_5c3241b31d1a,proc_7c826941,19-65
paper_5c517d972408,proc_41a89fcd,19-80
paper_5d6db7cce9ee,proc_0dd00dba,36-98
paper_5d9496484972,proc_a3ef6fbf,19-51
paper_5e06eb38312e,proc_de6d4ed6,4-77
paper_5e3ec51ec8f7,proc_033e3477,37-90
paper_5e78b0107ab4,proc_197d5523,49-67
paper_5ecaa78f556f,proc_7ee56dc2,25-94
paper_5f62cdfe9bd7,proc_50dd410c,24-69
paper_6012ba46a568,proc_57636e7b,43-62
paper_60900856277f,proc_061068b4,23-67
paper_60bc4ab5e2ca,proc_1fe4ba78,43-64
paper_60f93e4ef7a8,proc_7a47ad62,15-96
paper_613cc26a7f90,proc_50aee913,30-100
paper_61c1be70fd83,proc_f6525e9e,34-95
paper_632279fd9079,proc_00e29167,47-55
paper_64171980d008,proc_cc1ba3c8,31-55
paper_643646eac68a,proc_588ba179,4-89
paper_6441b2e65c40,proc_51011623,2-99
paper_645b7ec49fb1,proc_288f1f95,37-89
paper_65a50cf20028,proc_9ec9a954,21-88
paper_65bd2972892d,proc_65e2bd69,39-57
paper_65f6564d462b,proc_d6c8ad38,42-68
paper_686042e10af4,proc_179d631a,38-64
paper_68ac2c6b08e2,proc_c165e3bc,34-84
paper_68b0cb4aef28,proc_41a89fcd,37-71
paper_68c5d93a300c,proc_4399c2e9,9-93
paper_6925df8c77ed,proc_333ab55b,50-54
paper_69d4d9e4a0f9,proc_c96757dd,3-100
paper_6a3ad1136f55,proc_db8d3241,14-68
paper_6a840c729807,proc_3867d350,11-96
paper_6b936c3560a6,proc_0af8c952,14-96
paper_6d5d47a7c5e0,proc_04bc17f8,25-85
paper_6e135e950794,proc_9463f313,42-84
paper_6e13eaedf892,proc_80ef5208,7-81
paper_6ed69ae93b00,proc_985f32e7,38-54
paper_6f39b1cf10f3,proc_4b6734b9,16-62
paper_70ad9dd2bb51,proc_a9258d1c,42-54
paper_71e9b529d05f,proc_3b47684b,35-79
paper_720190a45e69,proc_5ab24ea3,44-82
paper_73aa2a4489ab,proc_fdf9a41e,2-82
paper_73f1f51f03c1,proc_bc009aab,19-81
paper_7400a919ede3,proc_4264e017,44-95
paper_75b53aff8f1d,proc_c32ac24a,29-55
paper_77157f88448e,proc_c693478e,46-56
paper_772407d1d4c8,proc_106d3e97,3-62
paper_786c8f906c6e,proc_94f1ebcd,12-62
paper_79c71bc74630,proc_78f8a24e,22-51
paper_79d6ad6e329f,proc_3a161d2f,14-95
paper_7a64a98a1f7d,proc_7680fa8c,20-53
paper_7a7e7d66b32e,proc_20dec7a9,43-81
paper_7b0050801185,proc_50b50433,48-93
paper_7b0bd9d780ce,proc_061068b4,40-92
paper_7b86a3a8c1f1,proc_e55f39cb,14-91
paper_7bd3edce543e,proc_ce976a0c,15-96
paper_7ca670381f47,proc_0dd00dba,10-64
paper_7cafe629ea83,proc_e39f2563,48-63
paper_7eb506688fa7,proc_b37bdc2c,33-99
paper_7f232da7ceff,proc_bc009aab,26-89
paper_7fa1bda83af0,proc_3fdd3e41,14-62
paper_800a3b9a5dee,proc_106d3e97,5-75
paper_80a635d9c00f,proc_71230cd2,12-61
paper_80fd616b05b4,proc_333ab55b,16-61
paper_8158a62a4c1a,proc_e0a98aea,47-75
paper_8195ebf5c770,proc_fdf9a41e,42-86
paper_81d6121aba4e,proc_cbb1d4e8,29-81
paper_8209561576fa,proc_179d631a,26-76
paper_828139a6e511,proc_37797bd9,46-97
paper_84c6f2b1c808,proc_28e918de,10-90
paper_84ec510c94e6,proc_96e90cba,30-99
paper_84f173ea0a25,proc_6957b859,37-99
paper_851039da61cf,proc_8b069513,27-96
paper_8578bb7c2b46,proc_3cbed801,42-91
paper_86b9ecec7dc9,proc_97185665,21-85
paper_86fd3f5f837d,proc_588ba179,2-75
paper_87220b6cf992,proc_5a0f2d9a,39-84
paper_87463e610219,proc_8a2c2e55,17-80
paper_87592718ea03,proc_da39b8fc,19-62
paper_875a349a3cc1,proc_26970209,33-56
paper_87949644b2e5,proc_7ee56dc2,3-57
paper_87d5d5d96c91,proc_31a9cd5f,16-54
paper_8855159456a2,proc_92037116,46-96
paper_885ce8ff740e,proc_3708d446,2-73
paper_88d0e7fa468d,proc_a1b80f41,39-55
paper_89966989abd9,proc_91aec164,38-100
paper_8996b74d6527,proc_7d4c08c5,28-90
paper_89cea7046e2a,proc_57636e7b,13-61
paper_8a70b247bee5,proc_9b25ade2,23-62
paper_8a83719b06ce,proc_061068b4,33-71
paper_8acb32bb9e59,proc_95b9a174,19-64
paper_8af3a9383ee6,proc_179d631a,7-72
paper_8afd17cabdcb,proc_78f8a24e,43-78
paper_8b95d0d9d93b,proc_f5443c86,44-72
