paper_id,abstract_id
paper_0071ac36c05b,abs_paper_0071ac36c05b
paper_0084400f9877,abs_paper_0084400f9877
paper_00b8d8cbe76b,abs_paper_00b8d8cbe76b
paper_012d970ef9c8,abs_paper_012d970ef9c8
paper_01578539cdac,abs_paper_01578539cdac
paper_015d4b88de30,abs_paper_015d4b88de30
paper_01ae3975ac19,abs_paper_01ae3975ac19
paper_02aef7f4ccb1,abs_paper_02aef7f4ccb1
paper_02ccc5e73791,abs_paper_02ccc5e73791
paper_02e11839c4f3,abs_paper_02e11839c4f3
paper_0315438cd092,abs_paper_0315438cd092
paper_0388a924e4e5,abs_paper_0388a924e4e5
paper_04054d0d7a96,abs_paper_04054d0d7a96
paper_045b20b7a2a8,abs_paper_045b20b7a2a8
paper_047482ae7c53,abs_paper_047482ae7c53
paper_048ec457c420,abs_paper_048ec457c420
paper_04d56d1f2a09,abs_paper_04d56d1f2a09
paper_04e41542ccdd,abs_paper_04e41542ccdd
paper_05066e8f69b7,abs_paper_05066e8f69b7
paper_05392f02d837,abs_paper_05392f02d837
paper_05603d582718,abs_paper_05603d582718
paper_0566b42a5188,abs_paper_0566b42a5188
paper_057cde300140,abs_paper_057cde300140
paper_05c230eaaa5d,abs_paper_05c230eaaa5d
paper_06107d4c5bde,abs_paper_06107d4c5bde
paper_0654d98a5150,abs_paper_0654d98a5150
paper_06d3539a9066,abs_paper_06d3539a9066
paper_078fe939a99f,abs_paper_078fe939a99f
paper_07fd815c20bc,abs_paper_07fd815c20bc
paper_08477d7edb0e,abs_paper_08477d7edb0e
paper_0872b5abacce,abs_paper_0872b5abacce
paper_0875c88220e1,abs_paper_0875c88220e1
paper_087b05c0c54a,abs_paper_087b05c0c54a
paper_087dbe8b6819,abs_paper_087dbe8b6819
paper_088eb0764bfe,abs_paper_088eb0764bfe
paper_08f43cc67757,abs_paper_08f43cc67757
paper_08f64863d350,abs_paper_08f64863d350
paper_0978ab4d4a59,abs_paper_0978ab4d4a59
paper_09a1733f7089,abs_paper_09a1733f7089
paper_09a448eb6a71,abs_paper_09a448eb6a71
paper_09bab4efe29a,abs_paper_09bab4efe29a
paper_0a400618c083,abs_paper_0a400618c083
paper_0a715a098dc4,abs_paper_0a715a098dc4
paper_0aac71eb6c92,abs_paper_0aac71eb6c92
paper_0ab8e94aaed7,abs_paper_0ab8e94aaed7
paper_0aba9ad0eed1,abs_paper_0aba9ad0eed1
paper_0ad220ef1423,abs_paper_0ad220ef1423
paper_0b18520da2b0,abs_paper_0b18520da2b0
