proceedings_id,title,publisher
proc_sigmod_conference_companion_2025,Proceedings of SIGMOD Conference Companion 2025,IEEE/ACM
proc_north_american_chapter_of_the_association_for_computational_linguistics_2024,Proceedings of North American Chapter of the Association for Computational Linguistics 2024,IEEE/ACM
proc_coling_workshops_2024,Proceedings of COLING Workshops 2024,IEEE/ACM
proc_arxiv_org_2025,Proceedings of arXiv.org 2025,IEEE/ACM
proc_arxiv_org_2024,Proceedings of arXiv.org 2024,IEEE/ACM
proc_arxiv_org_2023,Proceedings of arXiv.org 2023,IEEE/ACM
proc_applied_sciences_2023,Proceedings of Applied Sciences 2023,IEEE/ACM
proc_unknown_venue_2023,Proceedings of Unknown Venue 2023,IEEE/ACM
proc_undergraduate_topics_in_computer_science_2019,Proceedings of Undergraduate Topics in Computer Science 2019,IEEE/ACM
proc_grades_nda_sigmod_2022,Proceedings of GRADES-NDA@SIGMOD 2022,IEEE/ACM
proc_international_conference_on_database_theory_2022,Proceedings of International Conference on Database Theory 2022,IEEE/ACM
proc_sigmod_conference_2021,Proceedings of SIGMOD Conference 2021,IEEE/ACM
proc_international_conference_on_advances_in_social_networks_analysis_and_mining_2021,Proceedings of International Conference on Advances in Social Networks Analysis and Mining 2021,IEEE/ACM
proc_international_conference_on_data_technologies_and_applications_2018,Proceedings of International Conference on Data Technologies and Applications 2018,IEEE/ACM
proc_acm_computing_surveys_2019,Proceedings of ACM Computing Surveys 2019,IEEE/ACM
proc_international_conference_on_conceptual_modeling_2019,Proceedings of International Conference on Conceptual Modeling 2019,IEEE/ACM
proc_knowledge_discovery_and_data_mining_2020,Proceedings of Knowledge Discovery and Data Mining 2020,IEEE/ACM
proc_ieee_international_conference_on_data_engineering_2017,Proceedings of IEEE International Conference on Data Engineering 2017,IEEE/ACM
proc_future_generations_computer_systems_2020,Proceedings of Future generations computer systems 2020,IEEE/ACM
proc_theory_of_computing_systems_2017,Proceedings of Theory of Computing Systems 2017,IEEE/ACM
proc_bdcat_2019,Proceedings of BDCAT 2019,IEEE/ACM
proc_international_conference_on_enterprise_information_systems_2017,Proceedings of International Conference on Enterprise Information Systems 2017,IEEE/ACM
proc_international_conference_on_internet_of_things_big_data_and_security_2020,"Proceedings of International Conference on Internet of Things, Big Data and Security 2020",IEEE/ACM
proc_acm_transactions_on_knowledge_discovery_from_data_2020,Proceedings of ACM Transactions on Knowledge Discovery from Data 2020,IEEE/ACM
proc_proceedings_of_the_vldb_endowment_2019,Proceedings of Proceedings of the VLDB Endowment 2019,IEEE/ACM
proc_international_conference_on_statistical_and_scientific_database_management_2019,Proceedings of International Conference on Statistical and Scientific Database Management 2019,IEEE/ACM
proc_blocksw_ckg_iswc_2019,Proceedings of BlockSW/CKG@ISWC 2019,IEEE/ACM
proc_journal_of_database_management_2019,Proceedings of Journal of Database Management 2019,IEEE/ACM
proc_trans_gis_2019,Proceedings of Trans. GIS 2019,IEEE/ACM
proc_2019_ieee_15th_international_scientific_conference_on_informatics_2019,Proceedings of 2019 IEEE 15th International Scientific Conference on Informatics 2019,IEEE/ACM
proc_international_conferences_on_graph_computing_2019,Proceedings of International Conferences on Graph Computing 2019,IEEE/ACM
proc_workshop_on_the_theory_and_practice_of_provenance_2018,Proceedings of Workshop on the Theory and Practice of Provenance 2018,IEEE/ACM
proc_plos_one_2017,Proceedings of PLoS ONE 2017,IEEE/ACM
proc_grades_nda_sigmod_pods_2018,Proceedings of GRADES/NDA@SIGMOD/PODS 2018,IEEE/ACM
proc_ant_seit_2017,Proceedings of ANT/SEIT 2017,IEEE/ACM
proc_grades_sigmod_pods_2017,Proceedings of GRADES@SIGMOD/PODS 2017,IEEE/ACM
proc_2017_ieee_international_conference_on_big_data_big_data_2017,Proceedings of 2017 IEEE International Conference on Big Data (Big Data) 2017,IEEE/ACM
proc_ieee_transactions_on_knowledge_and_data_engineering_2018,Proceedings of IEEE Transactions on Knowledge and Data Engineering 2018,IEEE/ACM
