review_id,content_description,decision
rev_087c755ff8689e4c5d846f952e9b2ed17dfe99f9_2335443776,This is a mock review. The methodology was flawed.,Reject
rev_087c755ff8689e4c5d846f952e9b2ed17dfe99f9_2216703472,This is a mock review. The methodology was flawed.,Reject
rev_087c755ff8689e4c5d846f952e9b2ed17dfe99f9_2315141827,This is a mock review. The methodology was solid.,Weak Accept
rev_514e4e91e0fbddaa85857760d4f206a18228d614_1817470,This is a mock review. The methodology was flawed.,Reject
rev_514e4e91e0fbddaa85857760d4f206a18228d614_1742222896,This is a mock review. The methodology was solid.,Accept
rev_514e4e91e0fbddaa85857760d4f206a18228d614_2331973976,This is a mock review. The methodology was flawed.,Reject
rev_3ca49899da83e160280c709288973e9caed30fa2_2285503172,This is a mock review. The methodology was solid.,Weak Accept
rev_3ca49899da83e160280c709288973e9caed30fa2_2006748,This is a mock review. The methodology was solid.,Accept
rev_3ca49899da83e160280c709288973e9caed30fa2_1742222896,This is a mock review. The methodology was flawed.,Reject
rev_730d8b1e289067af593cfbc36c52ec0275507514_2006748,This is a mock review. The methodology was solid.,Accept
rev_730d8b1e289067af593cfbc36c52ec0275507514_2341319603,This is a mock review. The methodology was flawed.,Reject
rev_730d8b1e289067af593cfbc36c52ec0275507514_2790411,This is a mock review. The methodology was solid.,Accept
rev_27d0ae215acfaa5914fc13cea20626c9470848c2_48195883,This is a mock review. The methodology was solid.,Accept
rev_27d0ae215acfaa5914fc13cea20626c9470848c2_144165788,This is a mock review. The methodology was solid.,Accept
rev_27d0ae215acfaa5914fc13cea20626c9470848c2_2176430503,This is a mock review. The methodology was solid.,Weak Accept
rev_6e08bd9b6ecb3e3978de66c5f8bd8636367413bc_2335444768,This is a mock review. The methodology was solid.,Weak Accept
rev_6e08bd9b6ecb3e3978de66c5f8bd8636367413bc_2331968811,This is a mock review. The methodology was solid.,Weak Accept
rev_6e08bd9b6ecb3e3978de66c5f8bd8636367413bc_13150804,This is a mock review. The methodology was solid.,Weak Accept
rev_033275ccc2c7c5c38592ae893da0b5923cf90717_2047514100,This is a mock review. The methodology was solid.,Weak Accept
rev_033275ccc2c7c5c38592ae893da0b5923cf90717_2082035401,This is a mock review. The methodology was solid.,Accept
rev_033275ccc2c7c5c38592ae893da0b5923cf90717_1716043,This is a mock review. The methodology was solid.,Accept
rev_459cf4e6476d5e19f1bc422c162bcded54ca7f95_2335448038,This is a mock review. The methodology was solid.,Accept
rev_459cf4e6476d5e19f1bc422c162bcded54ca7f95_2335444768,This is a mock review. The methodology was solid.,Accept
rev_459cf4e6476d5e19f1bc422c162bcded54ca7f95_2341319603,This is a mock review. The methodology was solid.,Accept
rev_3c78b9d672e5bb2e065bcac54b52aa08b94b7321_2121701124,This is a mock review. The methodology was flawed.,Reject
rev_3c78b9d672e5bb2e065bcac54b52aa08b94b7321_2335448038,This is a mock review. The methodology was solid.,Accept
rev_3c78b9d672e5bb2e065bcac54b52aa08b94b7321_2121692039,This is a mock review. The methodology was solid.,Accept
rev_86e9b0585c8b866665de18b2744d69aefff3e16d_2315123131,This is a mock review. The methodology was solid.,Weak Accept
rev_86e9b0585c8b866665de18b2744d69aefff3e16d_2341325896,This is a mock review. The methodology was solid.,Accept
rev_86e9b0585c8b866665de18b2744d69aefff3e16d_2285503172,This is a mock review. The methodology was flawed.,Reject
