volume_id,year_id
database_j_biol_databases_curation_vol_1_2023,2023
future_internet_vol_1_2024,2024
the_vldb_journal_vol_1_2021,2021
vol_0242f9e0,year_2013
vol_026fc52d,year_2024
vol_047701c7,year_2016
vol_047f461f,year_2023
vol_06490d60,year_2021
vol_06d7c94b,year_2016
vol_073f1265,year_2011
vol_09bb2f8e,year_2024
vol_09bf845f,year_2019
vol_0a1ebecc,year_2012
vol_0bb149a0,year_2021
vol_0c1117ab,year_2021
vol_11fd6270,year_2011
vol_1218aa4c,year_2023
vol_131aec90,year_2014
vol_14242b25,year_2017
vol_15eb4d79,year_2017
vol_1683290c,year_2010
vol_1969f8c7,year_2010
vol_1bda9011,year_2022
vol_20b1c0c8,year_2015
vol_20ec951b,year_2018
vol_280ba603,year_2011
vol_2aaea51a,year_2024
vol_2b2ca5bc,year_2017
vol_2cba0898,year_2013
vol_2ea41dbe,year_2011
vol_2fe32d96,year_2020
vol_3008f1c0,year_2017
vol_30d37769,year_2024
vol_31b3de93,year_2023
vol_369f0afa,year_2019
vol_390c6186,year_2011
vol_3c2a4d79,year_2021
vol_3c805d05,year_2018
vol_3de2e30b,year_2017
vol_3f7eaa38,year_2020
vol_3fd41459,year_2021
vol_3ffb2ba2,year_2019
vol_400d023a,year_2017
vol_4036959f,year_2016
vol_409072a3,year_2014
vol_41fdcad1,year_2010
vol_4214a2dd,year_2020
vol_424a581d,year_2021
vol_42f2dc70,year_2011
vol_45e7d238,year_2011
vol_4631aa76,year_2024
vol_49552570,year_2024
vol_4b61e00c,year_2019
vol_4c097997,year_2016
vol_4cad6103,year_2013
vol_5054ea39,year_2015
vol_509fc3f0,year_2012
vol_51023517,year_2020
vol_525a6617,year_2016
vol_545d4949,year_2019
vol_545e361d,year_2016
vol_5491afd9,year_2024
vol_5549bfc3,year_2022
vol_56778f30,year_2010
vol_56fef06d,year_2014
vol_57831011,year_2019
vol_58c56846,year_2015
vol_5902d2b9,year_2022
vol_59326504,year_2016
vol_5a185397,year_2018
vol_5ba3a6a8,year_2021
vol_5c5f40ae,year_2016
vol_5cb5ccf5,year_2016
vol_61f215e9,year_2016
vol_6335f207,year_2018
vol_639b070a,year_2019
vol_658787c0,year_2023
vol_67c85822,year_2015
vol_69ef1321,year_2012
vol_6b4c737f,year_2023
vol_6c3cdf5f,year_2019
vol_71974f50,year_2023
vol_722ac52c,year_2015
vol_74575ab7,year_2023
vol_771a5760,year_2023
vol_788290f0,year_2016
vol_7b223f87,year_2012
vol_7d4febfd,year_2024
vol_84f88381,year_2017
vol_866b9ad3,year_2021
vol_867ef604,year_2014
vol_86cd8bff,year_2010
vol_87d05bb9,year_2016
vol_8c88496b,year_2016
vol_8cffb229,year_2012
vol_8eb5c951,year_2016
vol_8fe2cd86,year_2021
vol_9012d093,year_2010
vol_9392a4ff,year_2012
vol_93a31c46,year_2013
vol_95780ba2,year_2012
vol_958e7c78,year_2023
vol_97051ed2,year_2011
vol_97fbc824,year_2017
vol_97fc1f84,year_2024
vol_9a0d54df,year_2019
vol_9a2307b2,year_2021
vol_9a35825d,year_2024
vol_9dc69d73,year_2012
vol_9f32b230,year_2018
vol_a0abb408,year_2012
vol_a13c2ce3,year_2018
vol_a174371f,year_2020
vol_a1c6bd78,year_2017
vol_a2fcf9f1,year_2022
vol_a6a64c05,year_2022
vol_a6c03b9f,year_2019
vol_a6ddafd7,year_2018
vol_a98cdeca,year_2013
vol_ac13fa92,year_2012
vol_ada90b09,year_2011
vol_ae526c15,year_2023
vol_af1bd49d,year_2018
vol_b104c010,year_2020
vol_b1c12596,year_2011
vol_b443046a,year_2022
vol_b5d9ca72,year_2010
vol_b69bd9ef,year_2021
vol_b9d4842e,year_2014
vol_bb775d89,year_2011
vol_bb85b8d2,year_2020
vol_bbf9582d,year_2010
vol_bca0cdaf,year_2022
vol_be4c419a,year_2018
vol_be603e37,year_2018
vol_bef9f843,year_2011
vol_bf9cc586,year_2023
vol_c08961a7,year_2018
vol_c20c268a,year_2015
vol_c3cedf84,year_2020
vol_c4687db3,year_2021
vol_c6ff07eb,year_2023
vol_c847d57b,year_2012
vol_c8b6347f,year_2010
vol_cba20f32,year_2020
vol_ce8827d3,year_2024
vol_d144b86b,year_2017
vol_d15460fc,year_2020
vol_d3203a2f,year_2010
vol_d4eb4d11,year_2019
vol_d6310890,year_2010
vol_d6333603,year_2021
vol_d6a91de2,year_2015
vol_d84b01d1,year_2017
vol_da97c956,year_2011
vol_dd7a179b,year_2015
vol_de1359c0,year_2021
vol_de21bb43,year_2017
vol_df291766,year_2010
vol_df2c19e3,year_2016
vol_df42907d,year_2021
vol_dfc37feb,year_2024
vol_e06de634,year_2011
vol_e0784bc2,year_2013
vol_e11bd917,year_2015
vol_e26549a7,year_2015
vol_e3a67b23,year_2011
vol_e43f9484,year_2010
vol_e46b7cea,year_2010
vol_e496069d,year_2012
vol_e5c981b2,year_2013
vol_e791b51b,year_2020
vol_eb730e48,year_2022
vol_eecf119c,year_2024
vol_ef3b8c6c,year_2010
vol_ef3fb696,year_2010
vol_ef515a0c,year_2016
vol_ef8b9723,year_2012
vol_efd7f9b0,year_2022
vol_f05058ff,year_2024
vol_f50e1d69,year_2021
vol_f73b76c4,year_2019
vol_f7dab6bf,year_2015
vol_f948ab29,year_2014
vol_f9844796,year_2024
vol_f9ee7982,year_2023
vol_fa7613f1,year_2020
vol_fab16806,year_2018
vol_fb39dc5e,year_2018
vol_fbb94962,year_2023
vol_fd4c5753,year_2015
