volume_node_id,volume_id,issue_number
future_internet_vol_1_2024,1,1
database_j_biol_databases_curation_vol_1_2023,1,1
the_vldb_journal_vol_1_2021,1,1
vol_1218aa4c,1,7
vol_4cad6103,2,7
vol_84f88381,1,11
vol_6b4c737f,2,10
vol_ef3fb696,3,7
vol_97fc1f84,4,1
vol_f73b76c4,5,7
vol_71974f50,1,11
vol_d6a91de2,2,6
vol_df42907d,3,6
vol_0a1ebecc,4,3
vol_e0784bc2,1,3
vol_eb730e48,2,12
vol_400d023a,1,2
vol_390c6186,2,7
vol_74575ab7,1,7
vol_a2fcf9f1,2,3
vol_9a0d54df,3,12
vol_dd7a179b,4,12
vol_5a185397,5,12
vol_8eb5c951,1,3
vol_fab16806,2,5
vol_a6a64c05,3,11
vol_bf9cc586,4,4
vol_97051ed2,5,4
vol_a6ddafd7,1,3
vol_95780ba2,2,10
vol_c8b6347f,1,7
vol_073f1265,2,2
vol_f05058ff,3,1
vol_9dc69d73,4,9
vol_e791b51b,1,1
vol_b1c12596,2,11
vol_4036959f,3,11
vol_4631aa76,4,3
vol_639b070a,1,2
vol_09bb2f8e,2,12
vol_3c805d05,3,7
vol_c20c268a,4,9
vol_06d7c94b,5,3
vol_bca0cdaf,1,6
vol_42f2dc70,2,3
vol_509fc3f0,3,3
vol_4c097997,4,10
vol_ef515a0c,1,4
vol_51023517,2,11
vol_9012d093,3,1
vol_56778f30,1,7
vol_3ffb2ba2,2,3
vol_4214a2dd,3,11
vol_3fd41459,1,8
vol_20ec951b,2,8
vol_409072a3,3,9
vol_31b3de93,4,10
vol_fd4c5753,5,9
vol_e46b7cea,1,2
vol_771a5760,2,10
vol_49552570,3,10
vol_e43f9484,4,7
vol_86cd8bff,5,9
vol_de1359c0,1,11
vol_658787c0,2,2
vol_8fe2cd86,3,8
vol_2fe32d96,4,3
vol_41fdcad1,1,6
vol_958e7c78,2,9
vol_bbf9582d,3,7
vol_20b1c0c8,4,6
vol_7d4febfd,5,2
vol_f9ee7982,1,11
vol_b104c010,2,10
vol_ae526c15,3,6
vol_d4eb4d11,1,6
vol_45e7d238,2,6
vol_e496069d,3,8
vol_e11bd917,1,6
vol_af1bd49d,2,2
vol_b443046a,3,9
vol_f50e1d69,4,6
vol_df2c19e3,5,3
vol_7b223f87,1,3
vol_ef3b8c6c,2,10
vol_0bb149a0,3,11
vol_5c5f40ae,4,2
vol_a1c6bd78,1,9
vol_a98cdeca,2,2
vol_867ef604,3,8
vol_ce8827d3,4,7
vol_047701c7,5,5
vol_3008f1c0,1,3
vol_3de2e30b,2,9
vol_15eb4d79,3,6
vol_d84b01d1,1,7
vol_fa7613f1,2,3
vol_280ba603,3,11
vol_f9844796,4,3
vol_5054ea39,1,10
vol_ef8b9723,2,10
vol_545d4949,3,12
vol_30d37769,4,5
vol_525a6617,1,11
vol_be603e37,2,1
vol_d6310890,1,4
vol_b9d4842e,2,3
vol_d144b86b,3,8
vol_1bda9011,4,6
vol_93a31c46,1,3
vol_a0abb408,2,8
vol_09bf845f,3,12
vol_d15460fc,1,12
vol_424a581d,2,8
vol_67c85822,3,5
vol_545e361d,4,4
vol_722ac52c,1,11
vol_f7dab6bf,2,10
vol_eecf119c,1,9
vol_6c3cdf5f,2,12
vol_d3203a2f,3,10
vol_c4687db3,1,12
vol_0242f9e0,2,7
vol_c3cedf84,3,11
vol_2b2ca5bc,1,12
vol_bb775d89,2,5
vol_69ef1321,3,1
vol_2ea41dbe,4,4
vol_59326504,1,6
vol_b69bd9ef,2,3
vol_5549bfc3,3,6
vol_87d05bb9,4,8
vol_1683290c,1,12
vol_e06de634,2,3
vol_4b61e00c,3,8
vol_56fef06d,4,9
vol_cba20f32,5,9
vol_c08961a7,1,10
vol_6335f207,2,12
vol_9a2307b2,3,12
vol_788290f0,1,9
vol_c6ff07eb,2,6
vol_e5c981b2,3,5
vol_d6333603,4,8
vol_5902d2b9,1,3
vol_9a35825d,2,12
vol_3c2a4d79,3,6
vol_06490d60,1,1
vol_5ba3a6a8,2,10
vol_f948ab29,3,9
vol_8c88496b,4,2
vol_efd7f9b0,5,9
vol_2aaea51a,1,3
vol_dfc37feb,2,10
vol_3f7eaa38,3,4
vol_61f215e9,4,11
vol_e3a67b23,5,3
vol_14242b25,1,1
vol_57831011,2,1
vol_de21bb43,3,10
vol_a174371f,1,2
vol_fbb94962,2,11
vol_11fd6270,3,1
vol_ada90b09,4,6
vol_5cb5ccf5,1,12
vol_1969f8c7,2,2
vol_026fc52d,3,4
vol_97fbc824,1,11
vol_369f0afa,2,9
vol_5491afd9,3,8
vol_a13c2ce3,4,5
vol_9392a4ff,5,10
vol_8cffb229,1,7
vol_be4c419a,2,12
vol_ac13fa92,3,8
vol_866b9ad3,4,6
vol_bef9f843,1,10
vol_fb39dc5e,2,9
vol_a6c03b9f,1,11
vol_b5d9ca72,2,3
vol_da97c956,3,6
vol_df291766,1,2
vol_9f32b230,2,1
vol_e26549a7,3,4
vol_2cba0898,4,3
vol_0c1117ab,5,4
vol_131aec90,1,1
vol_bb85b8d2,2,11
vol_c847d57b,3,4
vol_047f461f,4,6
vol_58c56846,5,4
