workshop_id,name,acronym
coling_workshops,COLING Workshops,COLIN
ws_f6f245d2,Workshop on Receive,ZTWS
ws_6d7e9567,Workshop on Family,HCWS
ws_a405227f,Workshop on Improve,FWWS
ws_1e68a2f1,Workshop on None,KGWS
ws_8eeed38e,Workshop on Go,EUWS
ws_624ac2da,Workshop on Yard,BKWS
ws_d3e8cd0a,Workshop on Central,LXWS
ws_fdddd82e,Workshop on Bar,EDWS
ws_986b79b6,Workshop on Husband,AZWS
ws_c462b2e0,Workshop on Response,SAWS
ws_304011fb,Workshop on Side,NZWS
ws_d1e2fbe1,Workshop on Quite,PLWS
ws_a301cf7a,Workshop on With,DIWS
ws_35b1524c,Workshop on Answer,BOWS
ws_1dc5000f,Workshop on Wall,THWS
ws_0e8c5fd2,Workshop on Somebody,EFWS
ws_7d49a9e4,Workshop on Instead,LAWS
ws_d827cd48,Workshop on Article,MYWS
ws_ebaacce5,Workshop on Continue,PRWS
ws_0ddeaa2c,Workshop on Spring,GBWS
ws_bbd668b0,Workshop on Science,XXWS
ws_6caf89db,Workshop on Live,HIWS
ws_a554265b,Workshop on Speak,BBWS
ws_4265f4ba,Workshop on Black,SHWS
ws_5e537489,Workshop on Someone,ANWS
ws_cf0a9424,Workshop on Role,CQWS
ws_de3ee832,Workshop on Short,FLWS
ws_f577c63b,Workshop on Issue,JMWS
ws_9ac2899e,Workshop on Policy,QVWS
ws_44cd2d08,Workshop on Understand,DLWS
ws_481c042a,Workshop on Floor,YJWS
ws_056462dd,Workshop on Large,ZIWS
ws_090690f5,Workshop on Evidence,PNWS
ws_8b49fc4d,Workshop on Great,MXWS
ws_eb2d87e0,Workshop on Question,FSWS
ws_570785af,Workshop on Ok,ZUWS
ws_a9049b2a,Workshop on Believe,ZSWS
ws_e054f4fe,Workshop on Society,RHWS
ws_6a503b12,Workshop on Study,VJWS
ws_7ae97bd3,Workshop on Eat,FKWS
ws_53b11621,Workshop on Garden,BJWS
ws_5681fe5e,Workshop on Everybody,AUWS
ws_2a744318,Workshop on Quickly,KXWS
ws_d1096779,Workshop on Indeed,CCWS
ws_11f064a4,Workshop on Subject,BPWS
ws_c35040af,Workshop on Trade,CBWS
ws_da7ac0ad,Workshop on Situation,ZSWS
ws_a931104f,Workshop on Hope,QRWS
ws_4d489014,Workshop on Down,DVWS
ws_9b8523bf,Workshop on After,PDWS
